ClaimID,PolicyID,IncidentDate,SettlementDate,TurnaroundDays,ClaimType,ClaimAmount,ClaimStatus,RepudiationReason
CLM-50275,POL-104840,2025-02-03,2025-02-23,20,Vehicle Collision,25090.09,Settled,
CLM-50276,POL-104959,2025-06-21,2025-07-04,13,Windscreen Replacement,10802.7,Approved,
CLM-50277,POL-102156,2024-07-15,2024-08-08,24,Driver Vehicle Rollover,363585.76,Settled,
CLM-50278,POL-101453,2025-09-15,2025-09-28,13,Housebreaking / Theft,133315.94,Settled,
CLM-50279,POL-102538,2025-12-04,,,Vehicle Theft / Hijack,97128.29,Repudiated,Failure to Take Reasonable Precautions
CLM-50280,POL-102209,2025-01-18,2025-02-03,16,Storm / Roof Damage,26261.05,Settled,
CLM-50281,POL-104834,2024-05-17,2024-05-29,12,Vehicle Theft / Hijack,206444.76,Approved,
CLM-50282,POL-102677,2025-09-27,2025-10-10,13,Third Party Liability,31165.43,Approved,
CLM-50283,POL-104704,2025-05-19,2025-06-08,20,Fleet Hail Damage,307790.72,Settled,
CLM-50284,POL-100331,2025-05-03,2025-06-12,40,Livestock Loss,172334.41,Settled,
CLM-50285,POL-103971,2025-08-13,2025-09-05,23,Machinery Breakdown,153502.17,Settled,
CLM-50286,POL-100024,2025-09-30,2025-11-06,37,Severe Drought / Heat Stress,67128.05,Settled,
CLM-50287,POL-101627,2025-02-01,2025-02-08,7,Third Party Liability,53592.74,Settled,
CLM-50288,POL-103489,2025-02-15,2025-03-01,14,Third Party Liability,27319.41,Settled,
CLM-50289,POL-100368,2025-12-24,2026-01-12,19,Geyser Burst / Water Damage,31709.74,Settled,
CLM-50290,POL-103348,2024-11-18,2024-11-30,12,Geyser Burst / Water Damage,32066.56,Settled,
CLM-50291,POL-102816,2024-12-29,2025-01-18,20,Driver Vehicle Rollover,464944.83,Settled,
CLM-50292,POL-100457,2024-10-29,,,Housebreaking / Theft,110079.64,Under Investigation,
CLM-50293,POL-100641,2025-08-03,2025-08-12,9,Power Surge,9646.37,Approved,
CLM-50294,POL-103038,2025-04-25,2025-05-13,18,Driver Vehicle Rollover,634020.91,Settled,
CLM-50295,POL-101274,2024-11-10,2024-12-05,25,Fleet Heavy Collision,83042.51,Settled,
CLM-50296,POL-103568,2024-11-05,,,Driver Vehicle Rollover,573639.96,Repudiated,Unlicensed / Unauthorised Driver
CLM-50297,POL-103340,2025-06-02,2025-06-19,17,Hail Damage,39465.01,Settled,
CLM-50298,POL-101264,2025-06-23,,,Vehicle Collision,45807.37,Repudiated,Failure to Take Reasonable Precautions
CLM-50299,POL-100882,2024-12-04,,,Geyser Burst / Water Damage,28775.18,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50300,POL-102524,2024-11-14,2024-12-09,25,Vehicle Collision,172595.32,Settled,
CLM-50301,POL-102189,2025-10-06,2025-10-24,18,Windscreen Replacement,6695.71,Settled,
CLM-50302,POL-101080,2025-08-17,2025-09-02,16,Building Storm Inundation,127454.2,Settled,
CLM-50303,POL-104154,2025-04-23,2025-05-13,20,Third Party Liability,21953.83,Approved,
CLM-50304,POL-101173,2025-06-28,,,Power Surge,3522.08,Repudiated,Fraudulent / Inflated Claim
CLM-50305,POL-103508,2024-07-07,2024-08-01,25,Commercial Fire Damage,449749.52,Settled,
CLM-50306,POL-101218,2024-11-03,2024-11-11,8,Hail Damage,11517.24,Settled,
CLM-50307,POL-103787,2024-07-30,2024-08-10,11,Storm / Roof Damage,24382.13,Settled,
CLM-50308,POL-100315,2024-11-21,2024-12-01,10,Vehicle Collision,43197.9,Settled,
CLM-50309,POL-101472,2024-04-08,2024-04-29,21,Fleet Heavy Collision,140787.99,Settled,
CLM-50310,POL-100282,2025-11-20,2025-11-24,4,Power Surge,7273.99,Settled,
CLM-50311,POL-100632,2025-04-16,2025-05-20,34,Livestock Loss,185611.81,Settled,
CLM-50312,POL-100620,2025-12-24,2026-02-06,44,Geyser Burst / Water Damage,168003.62,Settled,
CLM-50313,POL-101257,2024-12-15,,,Crop Hail Damage,52433.14,Repudiated,Failure to Take Reasonable Precautions
CLM-50314,POL-101477,2025-09-10,,,Vehicle Collision,22725.98,Repudiated,Fraudulent / Inflated Claim
CLM-50315,POL-103947,2025-03-18,2025-03-27,9,Windscreen Replacement,6147.04,Settled,
CLM-50316,POL-104767,2025-08-11,2025-08-31,20,Power Surge,4748.23,Approved,
CLM-50317,POL-104665,2025-05-25,2025-05-30,5,Vehicle Collision,43876.6,Settled,
CLM-50318,POL-104418,2025-04-01,,,Geyser Burst / Water Damage,41221.31,Under Investigation,
CLM-50319,POL-104714,2025-04-21,2025-05-06,15,Storm / Roof Damage,25856.26,Settled,
CLM-50320,POL-102757,2024-11-28,2024-12-26,28,Storm / Roof Damage,167154.21,Settled,
CLM-50321,POL-100166,2025-03-14,,,Power Surge,10928.86,Repudiated,Material Non-Disclosure at Inception
CLM-50322,POL-102192,2025-01-13,2025-02-12,30,Geyser Burst / Water Damage,147773.02,Settled,
CLM-50323,POL-102137,2025-07-21,2025-07-29,8,Power Surge,7965.77,Settled,
CLM-50324,POL-102327,2024-12-20,2025-01-12,23,Storm / Roof Damage,37694.64,Settled,
CLM-50325,POL-103700,2024-05-23,,,Housebreaking / Theft,86352.51,Repudiated,Fraudulent / Inflated Claim
CLM-50326,POL-103404,2025-09-02,2025-09-16,14,Vehicle Collision,48645.85,Approved,
CLM-50327,POL-101257,2025-05-12,2025-06-08,27,Crop Hail Damage,59502.9,Settled,
CLM-50328,POL-100228,2025-03-20,2025-04-08,19,Business Interruption,151503.17,Settled,
CLM-50329,POL-103619,2025-03-08,2025-04-10,33,Business Interruption,130026.32,Settled,
CLM-50330,POL-101717,2024-06-24,2024-07-29,35,Fleet Hail Damage,270337.86,Settled,
CLM-50331,POL-100544,2024-05-24,2024-06-01,8,Vehicle Theft / Hijack,292426.98,Settled,
CLM-50332,POL-102237,2025-01-25,2025-02-03,9,Third Party Liability,42923.56,Settled,
CLM-50333,POL-102303,2024-10-07,2024-10-21,14,Power Surge,9865.98,Approved,
CLM-50334,POL-104739,2024-05-26,2024-06-06,11,Third Party Liability,54824.25,Settled,
CLM-50335,POL-101013,2024-10-07,2024-10-24,17,Vehicle Collision,52122.24,Settled,
CLM-50336,POL-100877,2025-10-17,2025-11-04,18,Housebreaking / Theft,58967.18,Settled,
CLM-50337,POL-100467,2025-04-16,2025-04-26,10,Storm / Roof Damage,23301.09,Settled,
CLM-50338,POL-104668,2024-10-31,2024-11-17,17,Windscreen Replacement,10982.84,Approved,
CLM-50339,POL-102503,2025-08-15,2025-08-25,10,Vehicle Collision,16213.18,Settled,
CLM-50340,POL-104859,2024-10-15,2024-10-28,13,Fleet Heavy Collision,186608.73,Settled,
CLM-50341,POL-103082,2024-04-22,2024-05-09,17,Livestock Loss,106343.19,Settled,
CLM-50342,POL-102463,2025-09-15,2025-10-03,18,Vehicle Theft / Hijack,247015.88,Settled,
CLM-50343,POL-101498,2024-03-02,2024-04-02,31,Commercial Fire Damage,627646.7,Settled,
CLM-50344,POL-104011,2025-08-17,2025-08-29,12,Accidental Damage,30573.72,Approved,
CLM-50345,POL-102841,2025-06-23,2025-07-15,22,Third Party Liability,26224.68,Settled,
CLM-50346,POL-101426,2025-01-11,2025-01-29,18,Geyser Burst / Water Damage,41828.52,Settled,
CLM-50347,POL-100479,2025-02-28,2025-03-22,22,Fleet Heavy Collision,255747.28,Settled,
CLM-50348,POL-101802,2025-05-26,2025-06-05,10,Storm / Roof Damage,38764.84,Settled,
CLM-50349,POL-101602,2025-06-09,,,Vehicle Theft / Hijack,271565.39,Repudiated,Failure to Take Reasonable Precautions
CLM-50350,POL-103375,2025-12-05,2026-01-06,32,Vehicle Collision,285624.85,Settled,
CLM-50351,POL-100043,2024-12-04,2025-01-12,39,Agricultural Machinery Breakdown,198121.59,Settled,
CLM-50352,POL-102568,2025-04-17,2025-05-04,17,Vehicle Collision,45285.02,Approved,
CLM-50353,POL-104396,2025-07-17,2025-07-29,12,Geyser Burst / Water Damage,11395.14,Settled,
CLM-50354,POL-102874,2025-02-16,2025-03-02,14,Power Surge,6959.17,Settled,
CLM-50355,POL-102179,2024-11-23,2024-12-15,22,Driver Vehicle Rollover,246808.39,Settled,
CLM-50356,POL-103184,2025-06-01,2025-06-23,22,Storm / Roof Damage,28712.78,Settled,
CLM-50357,POL-100829,2025-05-24,2025-06-19,26,Commercial Fire Damage,347130.75,Settled,
CLM-50358,POL-100605,2025-10-21,2025-11-08,18,Storm / Roof Damage,29314.86,Settled,
CLM-50359,POL-102736,2025-07-02,2025-07-24,22,Hail Damage,38536.25,Settled,
CLM-50360,POL-101006,2025-02-07,2025-03-01,22,Hail Damage,43944.55,Settled,
CLM-50361,POL-102346,2025-09-14,,,Geyser Burst / Water Damage,30840.83,Repudiated,Material Non-Disclosure at Inception
CLM-50362,POL-103572,2025-08-09,2025-08-30,21,Housebreaking / Theft,170877.71,Settled,
CLM-50363,POL-100076,2025-05-20,2025-06-05,16,Storm / Roof Damage,28169.51,Settled,
CLM-50364,POL-104129,2024-12-27,2025-01-10,14,Hail Damage,274196.97,Settled,
CLM-50365,POL-102404,2024-12-10,2024-12-25,15,Storm / Roof Damage,26032.17,Settled,
CLM-50366,POL-100044,2024-11-12,2024-11-24,12,Geyser Burst / Water Damage,34161.83,Settled,
CLM-50367,POL-104666,2025-03-30,,,Power Surge,5868.33,Under Investigation,
CLM-50368,POL-100673,2024-11-28,2024-12-16,18,Cargo Loss in Transit,149313.59,Settled,
CLM-50369,POL-101234,2025-03-01,2025-03-20,19,Hail Damage,54296.21,Settled,
CLM-50370,POL-104418,2025-11-06,,,Vehicle Collision,18560.37,Under Investigation,
CLM-50371,POL-104368,2025-07-26,2025-08-13,18,Machinery Breakdown,90809.76,Approved,
CLM-50372,POL-100987,2025-11-20,2025-12-03,13,Geyser Burst / Water Damage,41828.43,Approved,
CLM-50373,POL-100029,2025-01-13,2025-02-12,30,Vehicle Collision,171015.09,Settled,
CLM-50374,POL-100543,2025-01-23,2025-02-21,29,Geyser Burst / Water Damage,144463.75,Settled,
CLM-50375,POL-100948,2025-01-09,,,Driver Vehicle Rollover,470142.7,Repudiated,Failure to Take Reasonable Precautions
CLM-50376,POL-103599,2025-09-26,2025-10-21,25,Farm Property Fire,296123.49,Settled,
CLM-50377,POL-103431,2025-03-29,2025-04-18,20,Hail Damage,53227.87,Settled,
CLM-50378,POL-103965,2024-03-07,2024-03-20,13,Vehicle Theft / Hijack,96958.88,Settled,
CLM-50379,POL-102692,2024-12-23,2025-01-09,17,Hail Damage,18004.67,Settled,
CLM-50380,POL-102554,2025-05-09,2025-06-16,38,Building Storm Inundation,74083.05,Settled,
CLM-50381,POL-104193,2025-03-23,2025-04-13,21,Major Fleet Theft,308073.29,Settled,
CLM-50382,POL-102997,2025-07-12,,,Hail Damage,21646.52,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50383,POL-100123,2025-09-17,,,Third Party Liability,53683.85,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50384,POL-103552,2024-12-11,2024-12-21,10,Storm / Roof Damage,29733.94,Settled,
CLM-50385,POL-104350,2025-07-02,2025-07-14,12,Accidental Damage,23572.77,Settled,
CLM-50386,POL-102527,2024-06-02,,,Third Party Liability,43310.45,Repudiated,Fraudulent / Inflated Claim
CLM-50387,POL-101501,2025-05-22,2025-06-04,13,Hail Damage,36072.33,Settled,
CLM-50388,POL-104606,2025-01-05,2025-02-11,37,Farm Property Fire,237178.82,Settled,
CLM-50389,POL-104484,2025-12-21,2026-01-07,17,Storm / Roof Damage,50672.14,Settled,
CLM-50390,POL-102442,2025-08-27,2025-09-13,17,Fleet Heavy Collision,84414.4,Settled,
CLM-50391,POL-101879,2025-10-08,2025-10-20,12,Housebreaking / Theft,152010.37,Approved,
CLM-50392,POL-101430,2024-06-27,,,Hail Damage,55453.68,Repudiated,Failure to Take Reasonable Precautions
CLM-50393,POL-104456,2025-10-10,2025-11-03,24,Storm / Roof Damage,33841.59,Settled,
CLM-50394,POL-104645,2024-10-19,2024-11-08,20,Cargo Loss in Transit,180443.57,Settled,
CLM-50395,POL-104511,2025-10-09,,,Farm Property Fire,122705.63,Under Investigation,
CLM-50396,POL-104118,2025-09-06,2025-10-04,28,Premises Liability,205041.63,Settled,
CLM-50397,POL-100063,2024-11-19,2024-12-09,20,Geyser Burst / Water Damage,16710.59,Settled,
CLM-50398,POL-102955,2025-04-28,2025-05-26,28,Driver Vehicle Rollover,241946.66,Settled,
CLM-50399,POL-101105,2025-03-21,2025-03-24,3,Vehicle Theft / Hijack,148578.59,Settled,
CLM-50400,POL-101818,2025-01-23,2025-02-15,23,Storm / Roof Damage,79919.43,Settled,
CLM-50401,POL-101078,2025-09-03,2025-09-23,20,Livestock Loss,147903.93,Approved,
CLM-50402,POL-103822,2025-03-04,2025-03-22,18,Agricultural Machinery Breakdown,191476.95,Settled,
CLM-50403,POL-101304,2025-07-27,2025-08-14,18,Storm / Roof Damage,29118.01,Settled,
CLM-50404,POL-101901,2025-10-23,,,Power Surge,6230.11,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50405,POL-100887,2024-08-16,,,Fleet Hail Damage,258235.17,Under Investigation,
CLM-50406,POL-103594,2025-09-17,2025-10-01,14,Windscreen Replacement,8973.43,Settled,
CLM-50407,POL-102923,2025-03-31,2025-04-30,30,Premises Liability,155748.53,Settled,
CLM-50408,POL-102254,2025-08-26,2025-09-05,10,Vehicle Theft / Hijack,133104.83,Settled,
CLM-50409,POL-101521,2025-03-24,2025-04-22,29,Livestock Loss,144605.1,Settled,
CLM-50410,POL-103733,2024-12-01,2024-12-22,21,Hail Damage,84460.07,Settled,
CLM-50411,POL-102231,2025-01-13,,,Storm / Roof Damage,10532.65,Under Investigation,
CLM-50412,POL-103520,2024-03-22,2024-04-05,14,Premises Liability,59048.64,Settled,
CLM-50413,POL-100401,2025-07-16,2025-08-20,35,Livestock Loss,59052.29,Settled,
CLM-50414,POL-104299,2025-07-07,,,Geyser Burst / Water Damage,16774.98,Repudiated,Fraudulent / Inflated Claim
CLM-50415,POL-103029,2025-09-10,2025-09-27,17,Accidental Damage,34689.47,Settled,
CLM-50416,POL-100649,2024-05-11,2024-06-02,22,Premises Liability,180070.57,Settled,
CLM-50417,POL-101764,2025-10-06,,,Windscreen Replacement,8163.1,Repudiated,Failure to Take Reasonable Precautions
CLM-50418,POL-101107,2025-11-13,2025-12-02,19,Fleet Hail Damage,309506.2,Settled,
CLM-50419,POL-103245,2025-01-14,2025-01-30,16,Accidental Damage,32147.22,Settled,
CLM-50420,POL-104951,2025-07-09,,,Windscreen Replacement,6816.14,Under Investigation,
CLM-50421,POL-104854,2025-07-10,2025-07-24,14,Storm / Roof Damage,38637.91,Settled,
CLM-50422,POL-102046,2025-12-16,2026-01-10,25,Fleet Hail Damage,93109.57,Settled,
CLM-50423,POL-104378,2025-06-01,,,Storm / Roof Damage,40116.94,Repudiated,Unlicensed / Unauthorised Driver
CLM-50424,POL-102666,2024-09-25,2024-10-03,8,Windscreen Replacement,13262.37,Settled,
CLM-50425,POL-104514,2025-07-14,2025-07-25,11,Accidental Damage,30628.62,Settled,
CLM-50426,POL-100821,2024-03-03,2024-03-10,7,Third Party Liability,25770.99,Settled,
CLM-50427,POL-103187,2025-05-01,2025-05-12,11,Storm / Roof Damage,11451.37,Settled,
CLM-50428,POL-101745,2025-05-23,2025-06-27,35,Building Storm Inundation,190481.8,Settled,
CLM-50429,POL-103946,2024-07-06,2024-07-27,21,Commercial Fire Damage,654067.85,Settled,
CLM-50430,POL-101609,2024-09-25,2024-11-03,39,Livestock Loss,69548.93,Settled,
CLM-50431,POL-102425,2024-08-25,2024-09-24,30,Fleet Heavy Collision,114067.38,Approved,
CLM-50432,POL-103720,2024-09-23,2024-10-21,28,Business Interruption,86334.89,Settled,
CLM-50433,POL-101502,2024-09-04,,,Third Party Liability,28264.77,Repudiated,Material Non-Disclosure at Inception
CLM-50434,POL-104868,2025-08-13,2025-08-18,5,Accidental Damage,39564.87,Settled,
CLM-50435,POL-104079,2025-08-15,2025-08-24,9,Vehicle Collision,26946.2,Settled,
CLM-50436,POL-103472,2024-10-02,2024-10-16,14,Fleet Heavy Collision,114966.86,Settled,
CLM-50437,POL-102579,2025-03-02,2025-03-18,16,Windscreen Replacement,3603.29,Approved,
CLM-50438,POL-101829,2025-08-17,2025-09-12,26,Premises Liability,115540.63,Settled,
CLM-50439,POL-103549,2025-03-24,2025-04-14,21,Livestock Loss,58774.78,Settled,
CLM-50440,POL-100995,2025-06-01,2025-06-17,16,Geyser Burst / Water Damage,32501.86,Approved,
CLM-50441,POL-104281,2025-04-13,2025-05-15,32,Cargo Loss in Transit,275527.92,Settled,
CLM-50442,POL-104774,2025-01-22,2025-01-31,9,Housebreaking / Theft,118579.82,Settled,
CLM-50443,POL-104503,2025-05-21,2025-06-04,14,Accidental Damage,35811.01,Settled,
CLM-50444,POL-101350,2024-08-30,,,Commercial Fire Damage,610495.6,Repudiated,Fraudulent / Inflated Claim
CLM-50445,POL-100306,2025-07-02,2025-07-12,10,Hail Damage,26762.94,Settled,
CLM-50446,POL-104784,2024-11-18,2024-11-27,9,Vehicle Collision,46977.27,Settled,
CLM-50447,POL-103402,2025-12-14,,,Fleet Heavy Collision,85843.65,Under Investigation,
CLM-50448,POL-101858,2024-11-13,2024-12-10,27,Premises Liability,175875.28,Settled,
CLM-50449,POL-104085,2025-05-02,2025-05-05,3,Geyser Burst / Water Damage,17273.28,Settled,
CLM-50450,POL-101758,2025-01-11,2025-02-01,21,Fleet Heavy Collision,298407.92,Approved,
CLM-50451,POL-102245,2025-08-02,2025-08-21,19,Driver Vehicle Rollover,285733.95,Settled,
CLM-50452,POL-104424,2025-09-04,2025-10-05,31,Machinery Breakdown,102214.15,Settled,
CLM-50453,POL-101313,2024-10-19,2024-11-11,23,Machinery Breakdown,169723.94,Settled,
CLM-50454,POL-101783,2024-04-07,2024-04-21,14,Vehicle Theft / Hijack,204416.52,Settled,
CLM-50455,POL-104293,2025-03-23,2025-04-01,9,Geyser Burst / Water Damage,34542.65,Settled,
CLM-50456,POL-103748,2024-08-08,2024-08-30,22,Building Storm Inundation,54970.45,Approved,
CLM-50457,POL-103405,2025-12-09,2025-12-27,18,Vehicle Collision,39946.63,Settled,
CLM-50458,POL-103436,2025-09-23,2025-10-31,38,Farm Property Fire,178877.67,Settled,
CLM-50459,POL-102114,2024-07-16,2024-07-28,12,Vehicle Theft / Hijack,260703.58,Settled,
CLM-50460,POL-102710,2025-09-25,2025-10-17,22,Crop Hail Damage,91241.39,Approved,
CLM-50461,POL-100413,2025-10-26,2025-11-17,22,Cargo Loss in Transit,117795.68,Settled,
CLM-50462,POL-100260,2025-08-15,,,Business Interruption,190478.02,Repudiated,Unlicensed / Unauthorised Driver
CLM-50463,POL-104617,2025-01-18,2025-01-27,9,Geyser Burst / Water Damage,33533.53,Settled,
CLM-50464,POL-100046,2024-12-06,2025-01-07,32,Vehicle Collision,270424.49,Settled,
CLM-50465,POL-101212,2025-09-08,,,Accidental Damage,19781.86,Under Investigation,
CLM-50466,POL-100963,2024-05-29,2024-06-14,16,Major Fleet Theft,660843.29,Approved,
CLM-50467,POL-102647,2025-09-12,2025-10-08,26,Cargo Loss in Transit,186424.22,Approved,
CLM-50468,POL-104778,2025-01-24,2025-02-10,17,Vehicle Collision,298447.64,Settled,
CLM-50469,POL-104534,2025-03-16,2025-03-29,13,Geyser Burst / Water Damage,17798.43,Settled,
CLM-50470,POL-103100,2025-04-24,2025-05-27,33,Agricultural Machinery Breakdown,123299.16,Settled,
CLM-50471,POL-104088,2024-08-10,2024-09-23,44,Crop Hail Damage,53108.99,Settled,
CLM-50472,POL-100327,2025-06-19,2025-06-30,11,Hail Damage,52952.03,Settled,
CLM-50473,POL-104898,2025-08-11,2025-08-17,6,Power Surge,6992.7,Settled,
CLM-50474,POL-102574,2025-06-19,2025-07-11,22,Major Fleet Theft,573604.13,Settled,
CLM-50475,POL-103150,2025-09-28,2025-11-06,39,Livestock Loss,78906.06,Settled,
CLM-50476,POL-103230,2024-10-24,2024-11-04,11,Geyser Burst / Water Damage,12814.27,Settled,
CLM-50477,POL-103297,2024-06-02,,,Building Storm Inundation,145249.35,Repudiated,Fraudulent / Inflated Claim
CLM-50478,POL-103411,2024-12-25,2025-01-20,26,Driver Vehicle Rollover,664814.21,Settled,
CLM-50479,POL-102202,2024-10-25,2024-11-07,13,Vehicle Theft / Hijack,206508.15,Settled,
CLM-50480,POL-102179,2024-11-06,2024-11-20,14,Fleet Hail Damage,113609.13,Settled,
CLM-50481,POL-102327,2025-04-09,2025-05-01,22,Storm / Roof Damage,27914.58,Settled,
CLM-50482,POL-103501,2024-10-14,2024-10-31,17,Vehicle Collision,15966.72,Settled,
CLM-50483,POL-103530,2025-05-15,2025-05-21,6,Housebreaking / Theft,175771.0,Settled,
CLM-50484,POL-103206,2025-11-22,2025-12-26,34,Storm / Roof Damage,210734.31,Settled,
CLM-50485,POL-103794,2024-08-12,2024-08-27,15,Vehicle Theft / Hijack,174559.62,Approved,
CLM-50486,POL-100472,2025-09-12,2025-09-23,11,Vehicle Theft / Hijack,96756.63,Settled,
CLM-50487,POL-104884,2024-02-26,2024-03-06,9,Vehicle Theft / Hijack,215027.03,Settled,
CLM-50488,POL-100594,2025-07-24,2025-08-14,21,Vehicle Theft / Hijack,295065.61,Approved,
CLM-50489,POL-100164,2024-06-13,2024-07-14,31,Driver Vehicle Rollover,294165.4,Approved,
CLM-50490,POL-104039,2024-09-23,2024-10-14,21,Fleet Heavy Collision,263565.38,Settled,
CLM-50491,POL-104857,2024-11-01,,,Storm / Roof Damage,39320.22,Repudiated,Material Non-Disclosure at Inception
CLM-50492,POL-103024,2025-06-03,2025-06-19,16,Windscreen Replacement,9540.11,Settled,
CLM-50493,POL-102503,2025-03-27,,,Vehicle Collision,43984.39,Under Investigation,
CLM-50494,POL-103010,2025-08-06,2025-09-03,28,Cargo Loss in Transit,66899.34,Settled,
CLM-50495,POL-100104,2024-08-17,,,Power Surge,14416.05,Under Investigation,
CLM-50496,POL-101746,2025-05-21,2025-06-14,24,Driver Vehicle Rollover,460090.07,Settled,
CLM-50497,POL-101996,2024-12-13,2024-12-25,12,Vehicle Collision,22485.84,Approved,
CLM-50498,POL-101387,2025-09-18,,,Windscreen Replacement,10836.16,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50499,POL-100393,2024-02-17,2024-03-07,19,Vehicle Collision,56433.96,Settled,
CLM-50500,POL-100883,2024-10-18,2024-11-19,32,Severe Drought / Heat Stress,118032.32,Settled,
CLM-50501,POL-100641,2025-11-25,2025-12-16,21,Housebreaking / Theft,179874.93,Settled,
CLM-50502,POL-104822,2024-12-02,2024-12-12,10,Storm / Roof Damage,29829.18,Settled,
CLM-50503,POL-102091,2025-08-19,2025-09-05,17,Storm / Roof Damage,16431.19,Approved,
CLM-50504,POL-101442,2025-09-23,2025-10-15,22,Third Party Liability,30647.64,Approved,
CLM-50505,POL-104192,2024-11-17,2024-11-23,6,Hail Damage,31069.58,Settled,
CLM-50506,POL-102771,2024-12-24,2025-01-05,12,Windscreen Replacement,12486.88,Settled,
CLM-50507,POL-102909,2025-06-02,2025-06-20,18,Third Party Liability,36135.55,Settled,
CLM-50508,POL-103995,2025-03-17,2025-03-26,9,Third Party Liability,54888.56,Approved,
CLM-50509,POL-100019,2025-11-17,2025-12-06,19,Hail Damage,83636.31,Settled,
CLM-50510,POL-103424,2025-08-02,2025-08-05,3,Storm / Roof Damage,41979.15,Settled,
CLM-50511,POL-104301,2025-07-01,2025-07-29,28,Fleet Heavy Collision,261059.88,Approved,
CLM-50512,POL-101470,2024-10-10,2024-10-30,20,Power Surge,4961.28,Settled,
CLM-50513,POL-104235,2025-12-04,,,Vehicle Collision,35970.03,Under Investigation,
CLM-50514,POL-103996,2025-03-25,,,Major Fleet Theft,241468.39,Repudiated,Material Non-Disclosure at Inception
CLM-50515,POL-100808,2025-04-20,2025-05-02,12,Vehicle Collision,56569.96,Approved,
CLM-50516,POL-101417,2025-08-23,2025-09-24,32,Farm Property Fire,295912.81,Settled,
CLM-50517,POL-103465,2024-09-23,2024-10-20,27,Fleet Heavy Collision,288088.31,Settled,
CLM-50518,POL-101735,2025-09-16,,,Cargo Loss in Transit,165417.46,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50519,POL-103435,2025-11-12,,,Geyser Burst / Water Damage,76170.47,Under Investigation,
CLM-50520,POL-104026,2025-03-26,,,Third Party Liability,49294.16,Repudiated,Uninsured Peril / Exclusion Applied
CLM-50521,POL-104155,2025-05-03,2025-06-01,29,Commercial Fire Damage,548273.87,Settled,
CLM-50522,POL-104940,2025-06-15,2025-07-13,28,Cargo Loss in Transit,301156.1,Settled,
CLM-50523,POL-104385,2024-08-08,2024-08-21,13,Windscreen Replacement,10934.36,Settled,
CLM-50524,POL-103710,2025-09-19,2025-10-06,17,Windscreen Replacement,4859.23,Settled,
CLM-50525,POL-103498,2025-08-13,,,Crop Hail Damage,201475.19,Repudiated,Unlicensed / Unauthorised Driver
CLM-50526,POL-103371,2024-11-20,2024-12-22,32,Farm Property Fire,274993.77,Settled,
CLM-50527,POL-102356,2024-08-15,2024-09-09,25,Major Fleet Theft,678905.9,Settled,
CLM-50528,POL-102314,2024-10-08,2024-10-19,11,Fleet Hail Damage,112488.59,Settled,
CLM-50529,POL-102841,2025-05-04,2025-05-16,12,Hail Damage,30271.29,Settled,
CLM-50530,POL-101924,2024-11-29,2025-01-05,37,Geyser Burst / Water Damage,298248.64,Settled,
CLM-50531,POL-102181,2024-09-03,,,Hail Damage,22243.31,Under Investigation,
CLM-50532,POL-100088,2025-02-01,,,Crop Hail Damage,193931.46,Under Investigation,
CLM-50533,POL-102199,2025-03-14,2025-03-22,8,Vehicle Theft / Hijack,208436.3,Settled,
CLM-50534,POL-101257,2025-09-15,2025-10-27,42,Livestock Loss,133120.32,Settled,
CLM-50535,POL-101046,2024-08-04,2024-09-01,28,Business Interruption,170409.29,Settled,
CLM-50536,POL-104895,2025-04-09,2025-04-30,21,Commercial Fire Damage,361703.43,Approved,
CLM-50537,POL-103484,2025-06-15,2025-06-28,13,Hail Damage,21986.57,Settled,
CLM-50538,POL-102199,2025-04-29,2025-05-16,17,Hail Damage,30411.35,Settled,
CLM-50539,POL-104427,2024-05-25,2024-06-08,14,Vehicle Theft / Hijack,245058.96,Settled,
CLM-50540,POL-101590,2024-11-10,2024-11-30,20,Geyser Burst / Water Damage,240777.88,Settled,
CLM-50541,POL-100453,2025-04-24,2025-05-01,7,Third Party Liability,42129.08,Settled,
CLM-50542,POL-102141,2024-08-26,2024-09-03,8,Hail Damage,21085.63,Approved,
CLM-50543,POL-101988,2024-08-12,2024-08-27,15,Geyser Burst / Water Damage,18630.25,Settled,
CLM-50544,POL-103401,2025-10-07,2025-11-10,34,Commercial Fire Damage,481746.54,Settled,
CLM-50545,POL-100109,2025-08-08,2025-08-22,14,Power Surge,8928.05,Settled,
CLM-50546,POL-103165,2025-05-13,,,Fleet Hail Damage,69057.82,Under Investigation,
CLM-50547,POL-103292,2024-10-17,,,Agricultural Machinery Breakdown,184220.82,Repudiated,Unlicensed / Unauthorised Driver
CLM-50548,POL-101234,2024-06-05,2024-06-19,14,Windscreen Replacement,10062.47,Settled,
CLM-50549,POL-101346,2025-09-05,2025-09-23,18,Windscreen Replacement,4501.99,Settled,
CLM-50550,POL-103840,2025-06-12,2025-07-16,34,Major Fleet Theft,258214.45,Settled,
CLM-50551,POL-101139,2025-02-18,2025-02-25,7,Third Party Liability,39748.59,Settled,
